all_gap_point_count,layer,matched_gap_all_solver_success_percent,matched_gap_qualified_reference_percent,mean_corrected_segments,network_hds_acceptance_rate_percent,problem,qualified_gap_point_count,seed,selected_points
50,far_ood_10_20pct,4.210506794942287,4.210506794942287,3.0,100.0,penicillin,50,20260796,50
50,near_ood_0_10pct,1.537447175275522,1.537447175275522,2.98,100.0,penicillin,50,20260797,50
50,far_ood_10_20pct,5.074830976815551,5.074830976815551,3.0,100.0,penicillin,50,20260797,50
50,near_ood_0_10pct,1.3691209037526766,1.3691209037526766,3.0,100.0,penicillin,50,20260798,50
50,far_ood_10_20pct,4.541177546003692,4.541177546003692,3.0,100.0,penicillin,50,20260798,50
50,near_ood_0_10pct,1.6710266190748881,1.6710266190748881,3.0,100.0,penicillin,50,20260799,50
50,far_ood_10_20pct,5.212107108902075,5.212107108902075,3.0,100.0,penicillin,50,20260799,50
50,near_ood_0_10pct,1.2546124095300777,1.2546124095300777,3.0,100.0,penicillin,50,20260800,50
50,far_ood_10_20pct,4.237252977696829,4.237252977696829,3.0,100.0,penicillin,50,20260800,50
50,near_ood_0_10pct,0.2850911753797987,0.2850911753797987,32.34,100.0,cstr,50,20260771,50
50,far_ood_10_20pct,0.4525326248473078,0.4525326248473078,32.76,100.0,cstr,50,20260771,50
50,near_ood_0_10pct,0.22804623232979515,0.22804623232979515,29.98,100.0,cstr,50,20260772,50
50,far_ood_10_20pct,0.5137252885787674,0.5137252885787674,29.58,100.0,cstr,50,20260772,50
50,near_ood_0_10pct,0.3715478727285143,0.3715478727285143,30.34,100.0,cstr,50,20260773,50
50,far_ood_10_20pct,0.7317554408452822,0.7317554408452822,34.9,100.0,cstr,50,20260773,50
50,near_ood_0_10pct,0.1666220219000272,0.1666220219000272,31.32,100.0,cstr,50,20260774,50
50,far_ood_10_20pct,0.3619732842265456,0.3619732842265456,26.54,100.0,cstr,50,20260774,50
50,near_ood_0_10pct,0.38703819034421566,0.38703819034421566,30.74,100.0,cstr,50,20260775,50
50,far_ood_10_20pct,0.6905676579513486,0.6905676579513486,33.32,100.0,cstr,50,20260775,50
50,near_ood_0_10pct,0.2892297179804572,0.2892297179804572,25.36,100.0,cstr,50,20260776,50
50,far_ood_10_20pct,0.512941047002766,0.512941047002766,27.16,100.0,cstr,50,20260776,50
50,near_ood_0_10pct,0.49058858092884555,0.49058858092884555,36.44,100.0,cstr,50,20260777,50
50,far_ood_10_20pct,0.7635108776214617,0.7635108776214617,35.88,100.0,cstr,50,20260777,50
50,near_ood_0_10pct,0.24726455801914746,0.24726455801914746,31.32,100.0,cstr,50,20260778,50
50,far_ood_10_20pct,0.37896724729809267,0.37896724729809267,30.48,100.0,cstr,50,20260778,50
50,near_ood_0_10pct,0.25576219182447635,0.25576219182447635,26.76,100.0,cstr,50,20260779,50
50,far_ood_10_20pct,0.4823091277343494,0.4823091277343494,24.52,100.0,cstr,50,20260779,50
50,near_ood_0_10pct,0.42055791070497095,0.42055791070497095,28.58,100.0,cstr,50,20260780,50
50,far_ood_10_20pct,0.7478714728826568,0.7478714728826568,35.32,100.0,cstr,50,20260780,50
50,near_ood_0_10pct,0.4726344223872658,0.4726344223872658,28.72,100.0,cstr,50,20260781,50
50,far_ood_10_20pct,0.8216744340805964,0.8216744340805964,33.94,100.0,cstr,50,20260781,50
50,near_ood_0_10pct,0.21794483098356904,0.21794483098356904,25.68,100.0,cstr,50,20260782,50
50,far_ood_10_20pct,0.49340564700682643,0.49340564700682643,29.88,100.0,cstr,50,20260782,50
50,near_ood_0_10pct,0.2283181058018141,0.2283181058018141,25.14,100.0,cstr,50,20260783,50
50,far_ood_10_20pct,0.41915170485057224,0.41915170485057224,24.84,100.0,cstr,50,20260783,50
50,near_ood_0_10pct,0.2980488928777014,0.2980488928777014,29.46,100.0,cstr,50,20260784,50
50,far_ood_10_20pct,0.5648665337521381,0.5648665337521381,29.84,100.0,cstr,50,20260784,50
50,near_ood_0_10pct,0.34085841872760975,0.34085841872760975,30.58,100.0,cstr,50,20260785,50
50,far_ood_10_20pct,0.5803699193973705,0.5803699193973705,31.34,100.0,cstr,50,20260785,50
50,near_ood_0_10pct,0.31989175304380596,0.31989175304380596,26.36,100.0,cstr,50,20260786,50
50,far_ood_10_20pct,0.6140010199173637,0.6140010199173637,32.14,100.0,cstr,50,20260786,50
50,near_ood_0_10pct,0.24543279606988283,0.24543279606988283,30.34,100.0,cstr,50,20260787,50
50,far_ood_10_20pct,0.4857877349510787,0.4857877349510787,27.88,100.0,cstr,50,20260787,50
50,near_ood_0_10pct,0.3135073397594866,0.3135073397594866,28.14,100.0,cstr,50,20260788,50
50,far_ood_10_20pct,0.6350858312090232,0.6350858312090232,31.46,100.0,cstr,50,20260788,50
50,near_ood_0_10pct,0.19295002371153624,0.19295002371153624,29.88,100.0,cstr,50,20260789,50
50,far_ood_10_20pct,0.3663481183311211,0.3663481183311211,25.2,100.0,cstr,50,20260789,50
50,near_ood_0_10pct,0.2307463729275466,0.2307463729275466,27.12,100.0,cstr,50,20260790,50
50,far_ood_10_20pct,0.44784824077650115,0.44784824077650115,27.98,100.0,cstr,50,20260790,50
50,near_ood_0_10pct,0.29271511060150035,0.29271511060150035,27.0,100.0,cstr,50,20260791,50
50,far_ood_10_20pct,0.6064401372768919,0.6064401372768919,31.4,100.0,cstr,50,20260791,50
50,near_ood_0_10pct,0.2436772508366127,0.2436772508366127,27.74,100.0,cstr,50,20260792,50
50,far_ood_10_20pct,0.5064747186486642,0.5064747186486642,29.22,100.0,cstr,50,20260792,50
50,near_ood_0_10pct,0.19454105813863834,0.19454105813863834,23.4,100.0,cstr,50,20260793,50
50,far_ood_10_20pct,0.43269015154343243,0.43269015154343243,25.46,100.0,cstr,50,20260793,50
50,near_ood_0_10pct,0.255857955645995,0.255857955645995,26.42,100.0,cstr,50,20260794,50
50,far_ood_10_20pct,0.622947524226171,0.622947524226171,34.28,100.0,cstr,50,20260794,50
50,near_ood_0_10pct,0.3199551788024857,0.3199551788024857,28.98,100.0,cstr,50,20260795,50
50,far_ood_10_20pct,0.6376251136518636,0.6376251136518636,31.54,100.0,cstr,50,20260795,50
50,near_ood_0_10pct,0.2677366039557323,0.2677366039557323,31.32,100.0,cstr,50,20260796,50
50,far_ood_10_20pct,0.4790525634338943,0.4790525634338943,34.84,100.0,cstr,50,20260796,50
50,near_ood_0_10pct,0.2932839267402887,0.2932839267402887,31.62,100.0,cstr,50,20260797,50
50,far_ood_10_20pct,0.6263445638162555,0.6263445638162555,35.48,100.0,cstr,50,20260797,50
50,near_ood_0_10pct,0.3221731882251619,0.3221731882251619,27.08,100.0,cstr,50,20260798,50
50,far_ood_10_20pct,0.616925573608025,0.616925573608025,30.52,100.0,cstr,50,20260798,50
50,near_ood_0_10pct,0.31103031047206126,0.31103031047206126,29.68,100.0,cstr,50,20260799,50
50,far_ood_10_20pct,0.5864851875191607,0.5864851875191607,30.98,100.0,cstr,50,20260799,50
50,near_ood_0_10pct,0.3312537677241809,0.3312537677241809,26.42,100.0,cstr,50,20260800,50
50,far_ood_10_20pct,0.6100085696722322,0.6100085696722322,31.1,100.0,cstr,50,20260800,50
