accepted,benchmark,branch,fallback,final_max_g,hds_gap_percent,hds_gap_qualified286_percent,mean_corrected_segments,mean_hds_objective_change,mean_hds_seconds,mean_inference_seconds,mean_total_seconds,method,nominal_gap_percent,nominal_violation_rate_percent,post_hds_violation_rate_percent,qualified_reference_samples,samples,seed,source_checkpoint,source_metadata_rows
400,vdp,S-u,0,-2.9803123408056464e-07,0.38845915224358085,,0.5425,0.011660012647735675,0.008358131749982931,6.97250000484928e-06,0.00836510424998778,supervised,0.01891380192865135,54.25,0.0,,400,20260793,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260793\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260793\test_per_sample_S-u.csv
400,vdp,S-u,0,-4.067505797900051e-06,0.3898731170522072,,0.5675,0.011660496737350985,0.00843660725009613,3.3577500016690477e-06,0.0084399650000978,supervised,0.014155747174153853,55.50000000000001,0.0,,400,20260794,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260794\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260794\test_per_sample_S-u.csv
400,vdp,S-u,0,-9.189686690946886e-06,0.43261650317156064,,0.59,0.013281106016818702,0.00926153075010916,2.6412500028527573e-06,0.00926417200011201,supervised,0.0062220676524727386,58.75,0.0,,400,20260795,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260795\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260795\test_per_sample_S-u.csv
400,vdp,S-u,0,-3.88294091213659e-07,0.3548152487695011,,0.5125,0.010249274466838267,0.009108517750164538,6.455250004364642e-06,0.009114973000168902,supervised,0.019966103599917392,51.24999999999999,0.0,,400,20260796,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260796\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260796\test_per_sample_S-u.csv
400,vdp,S-u,0,-1.3800216723480752e-05,0.36560605892767845,,0.4775,0.010353033314781207,0.009164422999901944,3.320499999972526e-06,0.009167743499901918,supervised,0.0256600171247211,47.5,0.0,,400,20260797,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260797\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260797\test_per_sample_S-u.csv
400,vdp,S-u,0,-2.408864577818637e-05,0.383948757404569,,0.505,0.011000914859610482,0.009111310499965839,3.687999997055158e-06,0.009114998499962897,supervised,0.018937299828759212,50.5,0.0,,400,20260798,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260798\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260798\test_per_sample_S-u.csv
400,vdp,S-u,0,-6.068728470420837e-06,0.32470547121643545,,0.455,0.008969495198867519,0.009204661250005302,2.674750003279769e-06,0.00920733600000858,supervised,0.02392813901903528,45.5,0.0,,400,20260799,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260799\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260799\test_per_sample_S-u.csv
400,vdp,S-u,0,-7.714632952460221e-07,0.42578601022540946,,0.6275,0.013197446370343853,0.009448244750046797,3.365500006111688e-06,0.009451610250052908,supervised,0.006598364571218921,61.75000000000001,0.0,,400,20260800,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed_vdp_k10_cuda_seeds21_30_20260803_v1\supervised\vdp\seed20260800\S-u.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\supervised\vdp\seed20260800\test_per_sample_S-u.csv
400,vdp,S-u+K,0,-1.6181052293229303e-05,0.2113875537264923,,0.1425,0.0005561136562120017,0.008348440250001659,2.840249999280785e-06,0.008351280500000937,unprocessed,0.19251015491221846,14.000000000000002,0.0,,400,20260771,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\unprocessed\vdp\seed20260771\S-u+K.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\unprocessed\vdp\seed20260771\test_per_sample_S-u+K.csv
400,vdp,S-u+K,0,-3.1375692214286044e-05,0.23196231485713975,,0.145,0.0014980629951792013,0.008574458750044868,2.4902499990275825e-06,0.008576949000043896,unprocessed,0.17860375841443737,14.499999999999998,0.0,,400,20260772,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed10_vdp_k10_cuda_20260803_v1\unprocessed\vdp\seed20260772\S-u+K.pth,C:\Users\admin\Desktop\深度学习+CBF\kkt_collocation\results\multiseed30_vdp_k10_refined_lambda_cached_margin1e6_20260804_v1\unprocessed\vdp\seed20260772\test_per_sample_S-u+K.csv
